latitude,longitude,acq_date,acq_time,class
40.8753,25.7921,2023-08-22,43,fire
41.0431,26.0011,2023-08-02,902,not fire
36.1087,27.9427,2023-07-24,8,fire
40.8936,25.7387,2023-08-02,1148,not fire
36.2543,27.9132,2023-07-30,37,not fire
40.8845,26.0477,2023-08-19,1943,fire
37.0961,25.5033,2023-07-15,24,fire
36.0252,27.8657,2023-08-14,2040,not fire
38.4728,26.0022,2023-08-20,6,not fire
37.096,25.5271,2023-07-04,1944,not fire
40.9083,25.8666,2023-08-31,1926,not fire
38.165,23.5195,2023-07-28,1154,not fire
40.9843,25.9582,2023-08-01,1926,not fire
37.9361,24.8206,2023-08-27,56,fire
36.2397,27.945,2023-07-09,850,not fire
40.9481,26.0666,2023-08-21,1926,fire
38.0797,23.4401,2023-07-28,1154,not fire
36.0597,27.9464,2023-08-11,2016,not fire
38.3955,22.7731,2023-08-14,847,not fire
36.0562,27.8994,2023-08-14,800,not fire
39.3473,22.7858,2023-07-17,921,not fire
41.0908,26.0677,2023-08-12,1148,not fire
36.116,27.9828,2023-07-13,104,not fire
38.1772,23.5426,2023-08-07,946,not fire
40.9658,25.8629,2023-08-12,1148,not fire
36.0605,27.8469,2023-07-05,1902,not fire
40.8939,25.8526,2023-08-02,43,not fire
40.9771,25.9804,2023-08-21,1926,fire
39.3635,22.7353,2023-07-06,1235,not fire
41.2192,26.1808,2023-08-11,837,not fire
38.1294,23.5278,2023-08-07,1154,not fire
40.9506,25.7432,2023-08-13,943,not fire
38.3759,23.2338,2023-08-14,847,not fire
40.9337,25.9359,2023-08-31,1926,not fire
40.9313,26.0537,2023-08-29,1943,not fire
38.057,23.44,2023-07-19,132,fire
36.044,27.87,2023-07-16,1943,not fire
36.0942,27.9088,2023-07-07,36,not fire
39.7393,19.8544,2023-08-12,2058,not fire
36.0604,27.9264,2023-08-13,8,not fire
38.057,23.44,2023-08-08,132,not fire
40.9888,25.9165,2023-08-02,1148,not fire
40.9031,25.7959,2023-08-02,902,not fire
40.9427,25.8297,2023-08-22,1148,fire
38.2549,22.8094,2023-08-04,847,not fire
36.0605,27.8469,2023-07-25,1902,fire
38.041,23.4105,2023-07-19,1236,fire
40.9947,25.8893,2023-08-22,1148,fire
40.9736,25.9626,2023-08-01,1926,not fire
36.1638,27.9546,2023-07-22,914,fire
38.1456,23.5162,2023-07-18,1912,fire
36.043,27.8634,2023-07-05,2040,not fire
38.1681,23.5364,2023-07-29,849,not fire
41.1013,26.196,2023-08-12,902,not fire
40.8869,25.8382,2023-08-22,43,fire
41.0064,25.9454,2023-08-01,1926,not fire
37.9301,24.8159,2023-08-16,1933,not fire
38.0797,23.4401,2023-07-08,1154,not fire
36.1016,27.9774,2023-07-23,104,fire
38.9277,22.0648,2023-08-12,1147,not fire
38.0926,23.6343,2023-08-22,1147,fire
36.242,27.9317,2023-07-19,850,fire
40.8775,26.092,2023-08-11,822,not fire
36.1877,27.9356,2023-07-02,914,not fire
40.9083,25.8666,2023-08-21,1926,fire
36.1095,27.9242,2023-08-13,857,not fire
40.9903,26.129,2023-08-12,1148,not fire
36.083,27.8972,2023-07-26,841,fire
38.1032,23.462,2023-07-18,946,fire
41.1639,25.2627,2023-08-12,902,not fire
