latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
41.0198,24.9587,302.2,1.1,1.1,2023-01-04,0910,Terra,MODIS,48,61.03,284.6,7.3,D,0
35.3341,23.8192,302.3,1.2,1.1,2023-01-04,0912,Terra,MODIS,52,61.03,286.8,8.5,D,0
39.2965,22.2998,301.5,1.3,1.1,2023-01-06,1203,Aqua,MODIS,47,61.03,290.2,6.1,D,0
40.6052,22.8247,306.9,1.4,1.2,2023-01-06,1204,Aqua,MODIS,19,61.03,286.9,11.9,D,0
41.076,23.3666,302.8,1.6,1.2,2023-01-06,1204,Aqua,MODIS,54,61.03,287.8,10.3,D,0
40.3303,23.0694,300.9,1.5,1.2,2023-01-06,1204,Aqua,MODIS,40,61.03,288.9,7.7,D,2
40.6004,22.8324,303.8,1.4,1.2,2023-01-06,1204,Aqua,MODIS,20,61.03,286.8,9.1,D,0
39.8748,22.1812,303.4,1,1,2023-01-08,1150,Aqua,MODIS,56,61.03,286.7,6.6,D,0
40.4409,21.5453,310,1,1,2023-01-08,1151,Aqua,MODIS,69,61.03,287.1,11.7,D,0
40.4497,21.5431,300.6,1,1,2023-01-08,1151,Aqua,MODIS,26,61.03,283.1,5.8,D,0
38.2741,23.3099,300.6,1.1,1.1,2023-01-16,0914,Terra,MODIS,40,61.03,284.7,6.4,D,0
38.5067,23.208,306.4,1,1,2023-01-18,0858,Terra,MODIS,63,61.03,284,7.8,D,0
40.6494,22.6805,307.2,1.3,1.1,2023-01-19,1127,Aqua,MODIS,65,61.03,288.7,10.3,D,0
40.6484,22.6175,300,1.3,1.1,2023-01-19,1127,Aqua,MODIS,14,61.03,288.8,4.5,D,0
40.6521,22.6953,315.9,1.3,1.1,2023-01-19,1127,Aqua,MODIS,76,61.03,289.5,19.8,D,0
41.0139,24.9627,327.3,1.1,1,2023-01-19,1127,Aqua,MODIS,85,61.03,289.1,27.8,D,0
41.0159,24.9749,305.4,1.1,1,2023-01-19,1127,Aqua,MODIS,61,61.03,288.6,7,D,0
39.2544,22.277,311.5,1.4,1.2,2023-01-19,1127,Aqua,MODIS,71,61.03,293,15.9,D,0
39.2575,22.2932,305.1,1.4,1.2,2023-01-19,1127,Aqua,MODIS,61,61.03,292.2,8.8,D,0
40.4549,21.2056,300.7,1,1,2023-01-22,1156,Aqua,MODIS,40,61.03,283.8,6.3,D,0
39.1632,20.9049,314.6,1.1,1,2023-01-31,1145,Aqua,MODIS,62,61.03,285,16.2,D,0
39.1612,20.8928,328.1,1.1,1,2023-01-31,1145,Aqua,MODIS,81,61.03,285.5,31.1,D,0
40.5752,22.7001,326.9,1.2,1.1,2023-02-06,0853,Terra,MODIS,85,61.03,277.4,37.8,D,0
40.5768,22.686,310,1.2,1.1,2023-02-06,0853,Terra,MODIS,69,61.03,276.5,17.1,D,0
41.0725,23.3519,315.5,2.3,1.5,2023-02-06,1106,Aqua,MODIS,76,61.03,278.7,56.9,D,0
41.0763,23.3548,313,2.3,1.5,2023-02-06,1106,Aqua,MODIS,73,61.03,278.8,47.3,D,0
40.6009,22.7682,303.3,1,1,2023-02-07,1148,Aqua,MODIS,55,61.03,283.1,6.7,D,0
40.9311,23.5914,300.5,1.1,1,2023-02-07,1148,Aqua,MODIS,32,61.03,283.4,6.3,D,0
