latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
38.3511,-8.6941,302,1.1,1.1,2023-01-02,2209,Terra,MODIS,46,61.03,277.6,10.3,N,0
41.2716,-7.9209,301.4,1.4,1.2,2023-01-05,1130,Terra,MODIS,46,61.03,281,11.4,D,0
37.9808,-8.8225,310.9,1.1,1,2023-01-12,2228,Terra,MODIS,81,61.03,280.8,15,N,0
37.9822,-8.8107,304.3,1.1,1,2023-01-12,2228,Terra,MODIS,60,61.03,280,10.5,N,0
37.8934,-7.5275,303.9,1,1,2023-01-20,1348,Aqua,MODIS,58,61.03,288.4,5.9,D,0
38.3261,-8.6497,303.4,1.3,1.1,2023-01-24,1127,Terra,MODIS,56,61.03,283.8,10.9,D,0
39.5449,-8.6728,302.6,1.2,1.1,2023-01-24,1127,Terra,MODIS,50,61.03,280.9,11.1,D,0
40.8377,-8.1477,307,1,1,2023-01-27,1351,Aqua,MODIS,64,61.03,281.4,10.6,D,0
40.9536,-8.0284,314.8,1.6,1.3,2023-01-29,1136,Terra,MODIS,75,61.03,279.2,35.5,D,0
40.9573,-8.047,312.9,1.6,1.3,2023-01-29,1136,Terra,MODIS,73,61.03,279.6,32.1,D,0
40.946,-8.0482,340.9,1.6,1.3,2023-01-29,1136,Terra,MODIS,92,61.03,281.3,97.3,D,0
40.9423,-8.0298,344.3,1.6,1.3,2023-01-29,1136,Terra,MODIS,94,61.03,281.2,110.3,D,0
40.9454,-8.042,309,1.1,1,2023-01-29,1338,Aqua,MODIS,68,61.03,285.7,13,D,0
38.164,-8.7257,301.1,1.1,1,2023-01-31,1120,Terra,MODIS,45,61.03,288.3,6.1,D,0
40.8284,-8.1341,316.7,1.1,1,2023-01-31,1120,Terra,MODIS,77,61.03,281.7,19.9,D,0
40.8264,-8.1214,316,1.1,1,2023-01-31,1120,Terra,MODIS,76,61.03,284.4,19.2,D,0
40.8243,-8.1324,307.4,1.5,1.2,2023-01-31,1325,Aqua,MODIS,65,61.03,284.1,18.9,D,0
38.0099,-8.1027,309.7,1.3,1.1,2023-02-01,1406,Aqua,MODIS,69,61.03,293,13,D,0
38.0083,-8.1173,325,1.3,1.1,2023-02-01,1406,Aqua,MODIS,83,61.03,295,32.9,D,0
40.9942,-7.9938,326.7,1.4,1.2,2023-02-01,1407,Aqua,MODIS,85,61.03,282.4,45.7,D,0
40.9926,-8.0092,312.9,1.4,1.2,2023-02-01,1407,Aqua,MODIS,73,61.03,283.5,23.1,D,0
40.989,-7.9996,300.9,1.4,1.2,2023-02-01,1407,Aqua,MODIS,22,61.03,283.2,9.7,D,0
40.9996,-8.0012,328.1,1.4,1.2,2023-02-01,1407,Aqua,MODIS,85,61.03,282.2,47.5,D,0
41.6917,-8.4728,322.4,1.4,1.2,2023-02-01,1407,Aqua,MODIS,82,61.03,287.7,33.8,D,0
40.8681,-8.2577,306.9,1.1,1,2023-02-02,1104,Terra,MODIS,46,61.03,283.7,9.7,D,0
40.8641,-8.2903,300.6,1.1,1,2023-02-02,1104,Terra,MODIS,25,61.03,284.9,6.1,D,0
40.7188,-7.4069,300.9,1,1,2023-02-02,1104,Terra,MODIS,43,61.03,280.4,7.3,D,0
40.7172,-7.3952,313.8,1,1,2023-02-02,1104,Terra,MODIS,74,61.03,281.2,15.9,D,0
40.725,-7.3908,302.1,2.2,1.4,2023-02-02,1312,Aqua,MODIS,51,61.03,283.1,22.1,D,0
41.8334,-8.8258,301.5,2.4,1.5,2023-02-02,1312,Aqua,MODIS,31,61.03,285.1,20.3,D,0
41.828,-8.8313,306.1,2.4,1.5,2023-02-02,1312,Aqua,MODIS,48,61.03,285.7,32.6,D,0
40.9791,-7.9765,310.6,2.3,1.5,2023-02-03,1145,Terra,MODIS,70,61.03,283.3,39,D,0
40.9778,-7.97,307.3,2.3,1.5,2023-02-03,1145,Terra,MODIS,62,61.03,283.6,30.2,D,0
40.9666,-7.9809,328.5,2.3,1.5,2023-02-03,1145,Terra,MODIS,86,61.03,286.6,93.3,D,0
37.9273,-7.5193,305.8,1,1,2023-02-03,1353,Aqua,MODIS,56,61.03,295.1,5.4,D,0
37.9258,-7.5308,310.1,1,1,2023-02-03,1353,Aqua,MODIS,70,61.03,295.8,8.4,D,0
40.9663,-7.9788,319.8,1,1,2023-02-03,1354,Aqua,MODIS,80,61.03,289.6,19.5,D,0
40.9647,-7.991,308.3,1,1,2023-02-03,1354,Aqua,MODIS,67,61.03,289.2,9.6,D,0
40.9737,-7.9931,335.8,1,1,2023-02-03,1354,Aqua,MODIS,90,61.03,285.1,39.6,D,0
40.0601,-8.1556,302.5,1,1,2023-02-03,1354,Aqua,MODIS,49,61.03,290.8,5.6,D,0
41.7294,-8.3988,306.2,1,1,2023-02-03,1354,Aqua,MODIS,63,61.03,288.6,7.5,D,0
41.8647,-7.9314,322,1.1,1,2023-02-03,1354,Aqua,MODIS,81,61.03,290,22.8,D,0
41.8631,-7.944,302.5,1.1,1,2023-02-03,1354,Aqua,MODIS,51,61.03,289,6,D,0
41.9143,-8.3915,302.7,1,1,2023-02-03,1354,Aqua,MODIS,52,61.03,289,5.2,D,0
41.9127,-8.4036,308.8,1,1,2023-02-03,1354,Aqua,MODIS,68,61.03,290,9.3,D,0
41.731,-8.3867,306.5,1,1,2023-02-03,1354,Aqua,MODIS,64,61.03,287.5,7.7,D,0
40.069,-8.158,305.2,1,1,2023-02-03,1354,Aqua,MODIS,61,61.03,290.5,7.6,D,0
41.7495,-7.9482,304.8,3.2,1.7,2023-02-04,0331,Aqua,MODIS,62,61.03,276.1,56,N,0
