latitude,longitude,acq_date,acq_time,class,NDVI,EVI
37.3985,-8.6835,2023-08-17,1425,not fire,-0.3,-0.3
37.4013,-8.6667,2023-08-28,226,not fire,-0.3,-0.3
39.8053,-8.6446,2023-08-23,1408,fire,-0.3,-0.3
37.4676,-8.6956,2023-08-27,2259,not fire,-0.3,-0.3
41.6909,-7.8587,2023-02-05,2234,fire,0.5961,0.2454
37.4125,-8.7235,2023-08-27,1019,not fire,-0.3,-0.3
37.4296,-8.7211,2023-08-26,1344,not fire,-0.3,-0.3
41.0627,-8.1266,2023-08-28,1059,not fire,0.5066,0.2872
37.3947,-8.6855,2023-08-27,1019,not fire,-0.3,-0.3
37.3818,-8.7394,2023-08-27,1425,not fire,-0.3,-0.3
39.7811,-7.8031,2023-08-15,1035,not fire,-0.3,-0.3
41.3043,-8.2778,2023-02-19,2219,fire,0.5991,0.3317
37.3689,-8.7217,2023-08-27,2122,not fire,-0.3,-0.3
40.1208,-7.4039,2023-08-05,1106,not fire,0.4948,0.2991
39.7332,-7.8121,2023-08-15,158,not fire,-0.3,-0.3
41.3207,-7.3189,2023-08-04,2114,not fire,0.5517,0.286
37.3955,-8.6364,2023-08-27,2122,not fire,-0.3,-0.3
39.7351,-8.6394,2023-08-26,2219,not fire,-0.3,-0.3
37.3707,-8.7306,2023-08-27,2122,not fire,-0.3,-0.3
37.4422,-8.7095,2023-08-26,1344,not fire,-0.3,-0.3
37.4411,-8.6781,2023-08-17,322,not fire,-0.3,-0.3
40.5021,-7.8278,2023-08-23,1409,fire,0.6902,0.297
41.2971,-6.7647,2023-08-24,1313,fire,0.3471,0.1927
41.8647,-7.9314,2023-02-03,1354,fire,0.5632,0.2466
41.7555,-8.2912,2023-02-26,1050,not fire,0.6383,0.2034
39.7428,-8.6535,2023-08-26,2219,not fire,-0.3,-0.3
37.4393,-8.6833,2023-08-27,322,not fire,-0.3,-0.3
41.6897,-8.2084,2023-08-06,305,not fire,0.7423,0.3804
37.3947,-8.6855,2023-08-17,1019,not fire,-0.3,-0.3
37.4002,-8.6646,2023-08-17,1425,not fire,-0.3,-0.3
37.4889,-8.7468,2023-08-27,2300,not fire,-0.3,-0.3
37.4143,-8.7634,2023-08-27,1425,not fire,-0.3,-0.3
37.4158,-8.6677,2023-08-16,2219,not fire,-0.3,-0.3
37.4413,-8.6846,2023-08-26,2219,not fire,-0.3,-0.3
39.6943,-8.6867,2023-08-25,1441,not fire,-0.3,-0.3
40.9666,-7.9809,2023-02-03,1145,fire,0.6014,0.3369
37.3689,-8.7217,2023-08-17,2122,not fire,-0.3,-0.3
37.4268,-8.736,2023-08-26,1344,not fire,-0.3,-0.3
37.4367,-8.6749,2023-08-27,1019,not fire,-0.3,-0.3
41.6684,-8.1165,2023-02-14,2211,fire,0.6002,0.2229
37.446,-8.6723,2023-08-27,1425,not fire,-0.3,-0.3
39.7776,-7.7632,2023-08-15,1035,not fire,-0.3,-0.3
39.8011,-7.7576,2023-08-14,2236,not fire,-0.3,-0.3
39.8068,-8.6321,2023-08-23,1408,fire,-0.3,-0.3
37.3836,-8.7294,2023-08-28,226,not fire,-0.3,-0.3
41.6426,-8.1505,2023-02-18,1410,not fire,0.5212,0.2612
37.3742,-8.7862,2023-08-27,2122,not fire,-0.3,-0.3
39.7649,-7.7529,2023-08-24,2236,not fire,-0.3,-0.3
39.7651,-7.8131,2023-08-25,158,not fire,-0.3,-0.3
39.7328,-8.5507,2023-08-23,2226,fire,-0.3,-0.3
41.8766,-7.139,2023-02-17,1359,fire,0.5657,0.1384
41.697,-7.854,2023-02-15,2234,not fire,0.5389,0.2229
40.9737,-7.9931,2023-02-13,1354,not fire,0.5672,0.2734
37.3134,-8.528,2023-08-18,1420,not fire,-0.3,-0.3
41.6897,-8.2084,2023-08-16,305,fire,0.716,0.3573
40.5376,-7.7794,2023-08-13,2226,not fire,0.5512,0.3512
39.7595,-7.8274,2023-08-25,1035,not fire,-0.3,-0.3
37.3785,-8.7405,2023-08-18,1329,not fire,-0.3,-0.3
42.0149,-8.1931,2023-02-19,2220,fire,0.7116,0.3198
40.8502,-7.31,2023-08-05,1354,not fire,0.555,0.3041
37.444,-8.7222,2023-08-27,1019,not fire,-0.3,-0.3
39.7155,-7.8205,2023-08-15,1035,not fire,-0.3,-0.3
37.4276,-8.7455,2023-08-17,1425,not fire,-0.3,-0.3
37.4504,-8.7489,2023-08-17,1425,not fire,-0.3,-0.3
37.4099,-8.7135,2023-08-26,2219,not fire,-0.3,-0.3
37.4416,-8.7313,2023-08-26,1116,not fire,-0.3,-0.3
37.4173,-8.6561,2023-08-26,2219,not fire,-0.3,-0.3
37.3955,-8.685,2023-08-17,2259,not fire,-0.3,-0.3
39.7817,-7.7623,2023-08-24,2236,not fire,-0.3,-0.3
41.3066,-7.3077,2023-08-14,2114,fire,0.5071,0.2744
37.3855,-8.7494,2023-08-28,226,not fire,-0.3,-0.3
40.9028,-7.8128,2023-08-27,1049,fire,0.6773,0.3666
40.9666,-7.9809,2023-02-13,1145,not fire,0.6014,0.3369
37.4011,-8.7381,2023-08-17,2122,not fire,-0.3,-0.3
37.3715,-8.7114,2023-08-18,1329,not fire,-0.3,-0.3
37.444,-8.7222,2023-08-17,1019,not fire,-0.3,-0.3
39.7275,-8.625,2023-08-26,2219,not fire,-0.3,-0.3
41.121,-8.3313,2023-02-26,2155,not fire,0.4339,0.2359
39.7542,-7.7656,2023-08-25,1035,not fire,-0.3,-0.3
39.7732,-7.8001,2023-08-14,2236,not fire,-0.3,-0.3
39.7479,-7.8294,2023-08-25,1035,not fire,-0.3,-0.3
41.8766,-7.139,2023-02-07,1359,not fire,0.5657,0.1384
40.9942,-7.9938,2023-02-21,1407,not fire,0.5821,0.3205
39.7506,-7.8108,2023-08-25,158,not fire,-0.3,-0.3
39.7477,-7.8152,2023-08-15,158,not fire,-0.3,-0.3
41.2912,-7.3427,2023-08-21,2243,fire,0.541,0.2691
37.4189,-8.7154,2023-08-26,2219,not fire,-0.3,-0.3
37.4248,-8.729,2023-08-26,241,not fire,-0.3,-0.3
37.4268,-8.736,2023-08-16,1344,not fire,-0.3,-0.3
39.7834,-7.7401,2023-08-14,2236,not fire,-0.3,-0.3
41.6946,-7.7698,2023-08-10,2218,not fire,0.5897,0.313
37.3733,-8.7646,2023-08-28,1329,not fire,-0.3,-0.3
39.7258,-8.5183,2023-08-13,2226,not fire,-0.3,-0.3
39.7445,-7.7893,2023-08-25,1035,not fire,-0.3,-0.3
37.381,-8.6751,2023-08-17,2122,not fire,-0.3,-0.3
