,latitude,longitude,acq_date,acq_time,class,NDVI,EVI
0,40.8663,26.09,2023-08-21,822,fire,0.5877,0.3568
1,36.9605,22.5165,2023-07-09,1236,not fire,0.7502,0.5025
2,40.99,26.0609,2023-08-02,43,not fire,0.7915,0.4595
3,39.2366,22.3281,2023-07-26,1235,fire,0.8891,0.7208
4,36.1242,27.9519,2023-08-12,817,not fire,0.8155,0.6588
5,36.1098,27.9594,2023-07-02,2016,not fire,0.8365,0.534
6,36.1531,27.9558,2023-08-01,914,not fire,0.7866,0.4903
7,36.096,27.9409,2023-07-12,2016,not fire,0.8985,0.6541
8,41.1677,26.118,2023-08-20,1050,not fire,0.7071,0.4161
9,40.9078,25.6948,2023-08-12,2007,not fire,0.4147,0.2402
10,36.2397,27.945,2023-07-29,850,not fire,0.8384,0.5602
11,38.1053,23.493,2023-07-08,1154,not fire,0.4757,0.3464
12,39.3335,22.7993,2023-08-06,921,not fire,0.3135,0.1538
13,40.9734,25.9024,2023-08-11,1926,not fire,0.9103,0.5898
14,40.8786,25.9765,2023-07-31,57,not fire,0.8544,0.5372
15,38.1588,23.4742,2023-07-28,1154,not fire,0.7599,0.4603
16,41.046,26.1916,2023-08-23,805,fire,0.6966,0.344
17,36.1236,27.9167,2023-07-03,1207,not fire,0.9126,0.6563
18,38.3526,21.5304,2023-08-02,2006,not fire,0.7543,0.5852
19,38.0379,23.4021,2023-07-08,1912,not fire,0.672,0.3715
20,41.1111,26.1633,2023-08-21,1106,fire,0.8166,0.5006
21,36.223,28.0188,2023-07-23,1919,fire,0.8095,0.5838
22,38.1073,20.7543,2023-08-13,2031,fire,0.8936,0.4577
23,39.7515,19.9095,2023-08-13,7,not fire,0.6535,0.4508
24,38.0891,23.5085,2023-08-07,1154,not fire,0.6828,0.54
25,38.1719,23.5248,2023-07-18,51,fire,0.623,0.3825
26,36.1502,27.9488,2023-07-22,914,fire,0.6798,0.4313
27,40.9837,25.9839,2023-08-22,43,fire,0.8902,0.5948
28,36.1386,27.9405,2023-07-13,1207,not fire,0.8302,0.6286
29,38.1426,23.4884,2023-08-07,946,not fire,0.6971,0.4007
30,36.0723,27.9063,2023-07-06,841,not fire,0.9155,0.6751
31,36.1088,27.9203,2023-07-03,1919,not fire,0.8799,0.6067
32,36.0474,27.8921,2023-07-06,1943,not fire,0.9097,0.6234
33,38.1596,23.4848,2023-07-28,51,not fire,0.8642,0.5552
34,41.1571,26.194,2023-08-31,1132,fire,0.6577,0.3508
35,38.1392,23.5478,2023-07-29,849,not fire,0.83,0.5768
36,38.1773,23.4661,2023-07-29,849,not fire,0.8336,0.4088
37,36.2012,27.948,2023-08-10,1935,not fire,0.9096,0.5573
38,36.0772,27.8928,2023-07-06,1056,not fire,0.9169,0.6395
39,41.5644,26.2923,2023-08-04,1128,not fire,0.6679,0.3981
40,40.8818,25.9599,2023-07-31,57,not fire,0.7989,0.4605
